phon,gen
ʁEEkilibʁaʒ,m
ʁEEvalɥasj2,f
ʁEEgzam3,m
ʁEEkspEdisj2,f
ʁɛf,f
ʁEfEksj2,f
ʁEfEktwaʁ,m
ʁEfEʁe,m
ʁEfEʁ1s,f
ʁEfEʁ1səm1,m
ʁEfEʁ3dɔm,m
ʁEfEʁ1,m
ʁəfil,m
ʁəfin1səm1,m
ʁEflEktœʁ,m
ʁəflɛ,m
ʁEflɛks,m
ʁEflEksj2,f
ʁEflEksOlOʒi,f
ʁEfɔʁmatœʁ,m
ʁEfɔʁmasj2,f
ʁəfɔʁmasj2,f
ʁEfɔʁm,f
ʁEfɔʁme,m
ʁEfɔʁmizm,m
ʁəfɔʁmylasj2,f
ʁəfule,m
ʁəfuləm1,m
ʁəfulwaʁ,m
ʁEfʁaksj2,f
ʁEfʁiʒEʁ1,m
ʁEfʁiʒEʁatœʁ,m
ʁEfʁiʒEʁasj2,f
ʁəfʁwadisəm1,m
ʁəfʁwadisœʁ,m
ʁəfyʒ,m
ʁEfyʒje,m
ʁEfyʒje,f
ʁəfɥit,f
ʁəfy,m
ʁəfyze,m
ʁəfyze,f
ʁEfytasj2,f
ʁəg3,m
ʁEgal,m
ʁEgalad,f
ʁEgal,f
ʁEgalœʁ,m
ʁəgaʁ,m
ʁəgaʁdœʁ,m
ʁEgat,f
ʁEʒ1s,f
ʁeʒ1si,m
ʁEʒEnEʁatœʁ,m
ʁEʒEnEʁasj2,f
ʁEʒEnEʁEs1s,f
ʁEʒ1,m
ʁEʒ1t,f
ʁEge,m
ʁEʒi,f
ʁəg3bəm1,m
ʁEʒim,m
ʁEʒim1,m
ʁEʒj2,f
ʁEʒjOnal,m
ʁEʒjOnal,f
ʁEʒjOnalizm,m
ʁEʒisœʁ,m
ʁEglaʒ,m
ʁɛgl,f
ʁɛgləm1,m
ʁEgləm1tasj2,f
ʁEglɛt,f
ʁEglœʁ,m
ʁEglis,f
ʁEglyʁ,f
ʁɛɲ,m
ʁəg2flaʒ,m
ʁəgʁatjɛʁ,f
ʁEgʁEsj2,f
ʁəgʁɛ,m
ʁEgylaʁizasj2,f
ʁEgylaʁite,f
ʁEgylatœʁ,m
ʁEgylasj2,f
ʁEgylatʁis,f
ʁEgyl,m
ʁEgylje,m
ʁEgyljɛʁ,f
ʁEgyʁʒitasj2,f
ʁEabilitasj2,f
ʁEabilite,m
ʁəos,f
ʁəOsəm1,m
ʁəosœʁ,m
ʁəo,m
ʁEidʁatasj2,f
ʁajʃ,m
ʁajʃsmaʁk,m
ʁajʃstag,m
ʁajʃvɛʁ,f
ʁE3pl1tasj2,f
ʁE3pʁEsj2,f
ʁE3kaʁnasj2,f
ʁɛn,f
ʁɛnmaʁgəʁit,f
ʁEinisjalizasj2,f
ʁE3ʒEksj2,f
ʁE3sɛʁsj2,f
ʁE3stalasj2,f
ʁE3tEgʁasj2,f
ʁE3tɛʁpʁEtasj2,f
ʁE3v1sj2,f
ʁE3vEstisəm1,m
ʁEis,m
ʁEitEʁasj2,f
ʁɛtʁ,m
ʁəʒajisəm1,m
ʁəʒət2,m
ʁEʒwis1s,f
ʁəlaʃəm1,m
ʁəlɛ,m
ʁəl1s,f
ʁəl1səm1,m
ʁəl1sœʁ,m
ʁəlaps,m
ʁəlaps,f
ʁəlasj2,f
ʁəlativ,f
ʁəlativizasj2,f
ʁəlativizm,m
ʁəlativite,f
ʁəlaks1,m
ʁəlaksasj2,f
ʁəlaks,f
ʁəlEjœʁ,m
ʁəlEktyʁ,f
ʁəlEgasj2,f
ʁəlEge,m
ʁəl1,m
#DEF#,f
ʁəlɛv,f
ʁələve,m
ʁələve,f
ʁəlɛvəm1,m
ʁələvœʁ,m
ʁəljaʒ,m
ʁəljœʁ,m
ʁəliʒjøz,f
ʁəliʒjø,m
ʁəliʒj2,f
ʁəliʒjOzite,f
ʁəlika,m
ʁəljyʁ,f
ʁəlɔʒəm1,m
ʁəmajaʒ,m
ʁəmajøz,f
ʁEman1s,f
ʁəmanim1,m
ʁəmaʁjaʒ,m
ʁəmaʁk,f
ʁ1balaʒ,m
ʁ1blEm1,m
ʁ1bObinaʒ,m
ʁ1buʁaʒ,m
ʁ1buʁsəm1,m
ʁəmɛdmiʁakl,m
ʁəmɛd,m
ʁəm1bʁ1s,f
ʁəm1bʁəm1,m
ʁəmEmOʁasj2,f
ʁəmɛʁsim1,m
ʁEmiʒ,f
ʁEminis1s,f
ʁEmisj2,f
ʁəmiks,m
ʁEmiz,f
ʁ1majøz,f
ʁəmOdəlaʒ,m
ʁəm2taʒ,m
ʁəm2t1,m
ʁəm2tp1t,m
ʁəm2təp1t,m
ʁəm2te,f
ʁəm2twaʁ,m
ʁEmOʁa,m
ʁəmɔʁ,m
ʁəmɔʁk,f
ʁəmɔʁkœʁ,m
ʁEmulad,f
ʁEmulœʁ,m
ʁəmu,m
ʁ1pajøz,f
ʁ1paʁ,m
ʁ1plas1t,f
ʁ1plasəm1,m
ʁ1plisaʒ,m
ʁ1plisœʁ,m
ʁ1plwa,m
ʁəmyaʒ,m
ʁəmymEnaʒ,m
ʁəmymEn3ʒ,m
ʁəmy,f
ʁəmym1,m
ʁəmɥœʁ,m
ʁEmynEʁasj2,f
ʁənEs1s,f
ʁənaʁ,m
ʁənaʁd,f
ʁənaʁdo,m
ʁənOdœʁ,m
ʁ1k2tʁ,f
ʁ1dəm1,m
ʁ1dEvu,m
ʁənEga,m
ʁənEgat,f
ʁənEgOsjasj2,f
ʁ1fɛʁme,m
ʁ1fɛʁme,f
ʁ1fɛʁməm1,m
ʁ1fləm1,m
ʁ1fluaʒ,m
ʁ1flum1,m
ʁ1f2səm1,m
ʁ1fɔʁsəm1,m
ʁ1fɔʁ,m
ʁ1fʁɔɲəm1,m
ʁ1gaʒe,m
ʁ1gaʒəm1,m
ʁ1gɛn,f
ʁ1gɔʁʒəm1,m
ʁənim1,m
ʁəniflaʒ,m
ʁənifləm1,m
ʁənifləʁi,f
ʁəniflɛt,f
ʁEnin,f
ʁən2,m
ʁənOme,f
ʁən2s,f
ʁən2sjatœʁ,m
ʁən2sjasj2,f
ʁən2kylase,f
ʁənuvo,m
ʁənuvɛləm1,m
ʁEnOvatœʁ,m
ʁEnOvasj2,f
ʁ1sɛɲəm1,m
ʁ1tabilizasj2,f
ʁ1tabilite,f
ʁ1t,f
ʁ1tjɛʁ,f
ʁ1twalaʒ,m
ʁ1tʁe,m
ʁ1tʁe,f
ʁ1vɛʁs,f
ʁ1vɛʁsəm1,m
ʁ1vɛʁsœʁ,m
ʁ1vwa,m
ʁEɔʁganizasj2,f
ʁEOʁj1tasj2,f
ʁEuvɛʁtyʁ,f
ʁɛp,m
ʁEp1dœʁ,m
ʁEpaʁatœʁ,m
ʁEpaʁasj2,f
ʁEpaʁatʁis,f
ʁEpaʁti,f
ʁəpaʁti,f
ʁEpaʁtitœʁ,m
ʁEpaʁtisj2,f
ʁəpasœʁ,m
ʁəpasøz,f
ʁəpavaʒ,m
ʁəpEʃaʒ,m
ʁəp3,m
ʁəp1t1s,f
ʁəp1t1,m
ʁəp1t1t,f
ʁəp1ti,m
ʁəp1ti,f
ʁəp1tiʁ,m
ʁəpEʁaʒ,m
ʁEpɛʁkysj2,f
ʁəpEʁœʁ,m
ʁEpɛʁtwaʁ,m
ʁEpEtitœʁ,m
ʁEpEtisj2,f
ʁEpEtitʁis,f
ʁəpœpləm1,m
ʁəpik,f
ʁEpi,m
ʁəplasəm1,m
ʁəpl1tasj2,f
ʁəpla,m
ʁEplikasj2,f
ʁEplik,f
ʁEp2d1,m
ʁEp2dœʁ,m
ʁEp2,m
ʁəpɔʁ,m
ʁəpɔʁtaʒvEʁite,m
ʁəpɔʁtaʒ,m
ʁəpoʁtɛʁ,m
ʁəpo,m
ʁəpozpje,m
ʁəpOzwaʁ,m
ʁəpusaʒ,m
ʁəpus,f
ʁəpuswaʁ,m
ʁəpʁənœʁ,m
ʁəpʁEzaj,f
ʁəpʁEz1t1,m
ʁəpʁEz1t1t,f
ʁəpʁEz1tasj2,f
ʁEpʁEsœʁ,m
ʁEpʁEsj2,f
ʁEpʁim1d,f
ʁəpʁi,m
ʁəpʁiz,f
ʁEpʁObasj2,f
ʁəpʁɔʃ,m
ʁəpʁOdyktœʁ,m
ʁəpʁOdyksj2,f
ʁəpʁOgʁafi,f
ʁEpʁuve,m
ʁEpʁuve,f
ʁEptil,m
ʁEpyblik3,m
ʁEpyblikɛn,f
ʁəpyblikasj2,f
ʁEpyblik,f
ʁEpydjasj2,f
ʁEpyɲ1s,f
ʁEpylsj2,f
ʁEpytasj2,f
ʁəkEʁ1,m
ʁəkEʁ1t,f
ʁəkɛt,f
ʁEkɥijɛm,m
ʁEskwijatinpatʃe,m
ʁək3balɛn,m
ʁək3maʁto,m
ʁək3tigʁ,m
ʁəki,m
ʁEkizisj2,f
ʁEkizitwaʁ,m
ʁEskape,m
ʁEskape,f
ʁEsizj2,f
ʁEskus,f
ʁəskʁi,m
ʁEzo,m
ʁEsEksj2,f
ʁEzEda,m
ʁEzɛʁvasj2,f
ʁEzɛʁv,f
ʁEzɛʁvwaʁ,m
ʁEzɛt,m
ʁEzid1,m
ʁEzid1s,f
ʁEzidy,m
ʁEziɲasj2,f
ʁEziɲe,m
ʁEziljasj2,f
ʁEzilj1s,f
ʁEzij,f
ʁEzin,f
ʁEzinø,m
ʁEsipis1s,f
ʁEzist1s,f
ʁEzist1,m
ʁEzist1t,f
ʁəsOsializasj2,f
ʁEzOlysj2,f
ʁEzOn1s,f
ʁEzOnatœʁ,m
ʁEzɔʁpsj2,f
ʁEspɛ,m
ʁEspEktabilite,f
ʁEspiʁ,m
ʁEspiʁatœʁ,m
ʁEspl1disəm1,m
ʁEsp2sabilizasj2,f
ʁEsp2sabilite,f
ʁEskij,f
ʁEskijœʁ,m
ʁEskijøz,f
ʁəsak,m
ʁəsEzisəm1,m
ʁəsasœʁ,m
ʁəs1bl1s,f
ʁəsəməlaʒ,m
ʁəs1tim1,m
ʁəsEʁaʒ,m
ʁəsɛʁ,f
ʁəsɛʁəm1,m
ʁəsɔʁ,m
ʁəsɔʁtis1,m
ʁəsɔʁtis1t,f
ʁəsuʁsəm1,m
ʁəsɥi,m
ʁəsɥim1,m
ʁEst1,m
ʁEsto,m
ʁEstOʁ1,m
ʁEstOʁatœʁ,m
ʁEstOʁasj2,f
ʁEstOʁatʁis,f
ʁEstOʁut,m
ʁɛst,m
ʁEstitysj2,f
ʁEstoʁut,m
ʁEstʁiksj2,f
ʁəsyse,f
ʁEzylt1t,f
ʁEzylta,m
ʁEzyme,m
ʁEzyʁʒ1s,f
ʁEzyʁEksj2,f
ʁEtablisəm1,m
ʁEtamœʁ,m
ʁətap,f
ʁətapœʁ,m
ʁətaʁ,m
ʁətaʁdatœʁ,m
ʁətaʁde,m
ʁətaʁde,f
ʁEt1sj2,f
ʁEtis1s,f
ʁEtikylasj2,f
ʁEtikyl,m
ʁEtikylɔm,m
ʁEtinal,m
ʁEtin,f
ʁEtinit,f
ʁEtinOpati,f
ʁətiʁəm1,m
ʁEtiʁo,m
ʁət2b,f
ʁət2bəm1,m
ʁEtɔʁsj2,f
ʁətuʃœʁ,m
ʁətuʁn,f
ʁətuʁne,m
ʁEtʁaktasj2,f
ʁEtʁaktœʁ,m
ʁEtʁaksj2,f
ʁətʁadyksj2,f
ʁətʁɛ,m
ʁətʁɛt,f
ʁətʁEte,m
ʁətʁEte,f
ʁətʁɛtəm1,m
ʁətʁ1ʃəm1,m
ʁətʁ1skʁipsj2,f
ʁətʁ1smisj2,f
ʁEtʁEsisəm1,m
ʁətʁ3t,f
ʁEtʁibysj2,f
ʁətʁivœʁ,m
ʁEtʁo,m
ʁEtʁOaksj2,f
ʁEtʁOsEsj2,f
ʁEtʁOfyze,f
ʁEtʁOgʁadasj2,f
ʁEtʁogʁEsj2,f
ʁEtʁOpʁOʒEktœʁ,m
ʁEtʁOpʁOpylsj2,f
ʁEtʁOspEksj2,f
ʁEtʁOspEktiv,f
ʁətʁusaʒ,m
ʁətʁusɛt,f
ʁətʁusi,m
ʁEtʁOvɛʁsj2,f
ʁEtʁoviʁys,m
ʁEtʁOvizœʁ,m
ʁEtsina,m
ʁØbø,m
ʁEynifikasj2,f
ʁEynj2,f
ʁEynjOnɛ,m
ʁEynjOnit,f
ʁEysit,f
ʁEytilizasj2,f
ʁəvalidasj2,f
ʁəvalOʁizasj2,f
ʁəv1ʃaʁ,m
ʁəv1ʃaʁd,f
ʁəv1ʃ,f
ʁEvasəʁi,f
ʁEvɛj,m
ʁEvɛjmat3,m
ʁEvEjœʁ,m
ʁEvEj2,m
ʁEvEjOnœʁ,m
ʁEvElatœʁ,m
ʁEvElasj2,f
ʁəvən1,m
ʁəv1dœʁ,m
ʁəv1døz,f
ʁəv1dikatœʁ,m
ʁəv1dikasj2,f
ʁəvəny,m
ʁEvɛʁbEʁasj2,f
ʁEvɛʁbɛʁ,m
ʁEvEʁ1s,f
ʁEvEʁ1,m
ʁEvəʁi,f
ʁəvɛʁ,m
ʁEvɛʁsibilite,f
ʁEvɛʁsj2,f
ʁəvɛtəm1,m
ʁEvœʁ,m
ʁEvøz,f
ʁəvj3,m
ʁəviʁəm1,m
ʁEvizœʁ,m
ʁEvizj2,f
ʁEvizjOnizm,m
ʁəvitalizasj2,f
ʁəvajvOl,m
ʁəvivis1s,f
ʁEvOkasj2,f
ʁəvwaʁ,m
ʁEvɔlt,f
ʁEvɔlte,m
ʁEvɔlte,f
ʁEvOlysj2,f
ʁəvy,f
ʁEvylsif,m
ʁEvylsj2,f
ʁEdʃOse,m
ʁEdʒaʁd3,m
ʁəzu,m
ʁabijaʒ,m
ʁabijœʁ,m
ʁEOsta,m
ʁEzys,m
ʁEtœʁ,m
ʁEtOʁik,f
ʁ3gʁav,m
ʁinit,f
ʁino,m
ʁinOsEʁɔs,m
ʁinOplasti,f
ʁinOskOpi,f
ʁizom,m
ʁizOpys,m
ʁo,m
ʁOdamin,f
ʁOdja,m
ʁOdjɔm,m
ʁOdo,m
ʁOdOd3dʁ2,m
ʁOdOid,m
ʁ2b,m
ʁ2bOid,m
ʁOvil,m
ʁɔm,m
ʁymatOlOʒi,f
ʁɔməʁi,f
ʁ3ʃit,m
ʁijOlit,f
ʁitmɛnbluz,m
ʁja,f
ʁjal,m
ʁib1bɛl,f
ʁibo,m
ʁibɛs,m
ʁiblœʁ,m
ʁibOflavin,f
ʁibOzom,m
ʁibɔt,f
ʁibOtœʁ,m
ʁibwi,m
ʁibuld3g,f
ʁikɛn,f
ʁikanœʁ,m
ʁiʃaʁ,m
ʁiʃaʁd,f
ʁiʃəljø,m
ʁiʃɛs,f
ʁiʃɔm,m
ʁikOʃɛ,m
ʁikOta,f
ʁiktys,m
ʁid,f
ʁidɛl,f
ʁidikyl,m
ʁidikylizasj2,f
ʁidikylite,f
ʁidyl,f
ʁjɛl,m
ʁj3,m
ʁjøz,f
ʁif3,m
ʁififi,m
ʁiflaʁ,m
ʁiflɛt,f
ʁift,m
ʁigOd2,m
ʁigOlad,f
ʁigOlaʒ,m
ʁigOlaʁ,m
ʁigOlaʁd,f
ʁigɔl,f
ʁigOlo,m
ʁigOlɔt,f
ʁigOʁizm,m
ʁiguʁøz,f
ʁigœʁ,f
#DEF#,f
#DEF#,m
ʁimajəʁi,f
ʁimajœʁ,m
ʁimaj,f
ʁimœʁ,m
ʁimøz,f
ʁ3saʒ,m
ʁ3sbuʃ,m
ʁ3se,f
ʁ3sɛt,f
ʁ3sœʁ,m
ʁ3gaʁ,m
ʁ3gaʁd,f
ʁ3gaʁdiz,f
ʁiŋk,m
ʁjOʁa,m
ʁipat2,m
ʁip,f
ʁipœʁ,m
ʁipOl3,m
ʁipu,m
ʁiʁ,m
ʁiz,f
ʁajzœʁ,m
ʁizɛt,f
ʁizibilite,f
ʁizOʁjys,m
ʁizOto,m
ʁisk,m
ʁisɔl,f
ʁital,m
ʁital,f
ʁit,m
ʁituʁnɛl,f
ʁit,f
ʁitɥalizasj2,f
ʁival,m
ʁival,f
ʁivalite,f
ʁivəʁ3,m
ʁivətaʒ,m
ʁivətøz,f
ʁivjEʁa,f
ʁivwaʁ,m
ʁiksdal,f
ʁiks,f
ʁiminyt,m
ʁip3sɛl,m
ʁizjɛʁ,f
ʁOdstœʁ,m
ʁOzbif,m
ʁObɛʁ,m
ʁObɛt,f
ʁOb3,m
ʁObinɛ,m
ʁObinɛtəʁi,f
ʁObinje,m
ʁOb3s2,m
ʁOb3sOnad,m
ʁOblo,m
ʁObo,m
ʁObOtik,f
ʁObyʁit,f
ʁObystɛs,f
ʁɔk,m
ʁOkad,f
ʁOkaj,f
ʁOk1bɔl,f
ʁOʃasje,m
ʁɔʃ,f
ʁOʃɛl,f
ʁOʃɛ,m
ʁOʃje,m
ʁɔkɛnʁɔl,m
ʁOkɛt,m
ʁOkœʁ,m
ʁOkøz,f
ʁOkiŋʃɛʁ,m
ʁOkOko,m
ʁOdaʒ,m
ʁOdEo,m
ʁOdeo,m
ʁOdœʁ,m
ʁOdøz,f
ʁOdOm2tad,f
ʁœntgɛn,m
ʁOgasj2,f
ʁOgat2,m
ʁɔɲəpje,m
ʁOɲyʁ,f
ʁOgɔm,m
ʁɔg,f
ʁwaʁwa,m
ʁwasOlɛj,m
ʁwadœʁ,f
ʁoltitʁ,m
ʁol,m
ʁOlœʁ,m
ʁOlmɔps,m
ʁOm3,m
ʁOmɛn,f
ʁOm1fœjət2,m
ʁOm1flœv,m
ʁOm1foto,m
ʁOm1,m
ʁOm1sEʁo,m
ʁOm1ʃ,m
ʁOm1sje,m
ʁOm1sjɛʁ,f
ʁOmani,m
ʁOmaniʃɛl,f
ʁOmanizasj2,f
ʁOmanite,f
ʁOm1tisizm,m
ʁOm1tizm,m
ʁOmaʁ3,m
ʁ2bjɛʁ,f
ʁ2,m
ʁ2s,f
ʁ2sɛ,m
ʁ2ʃ2,m
ʁ2ʃOnœʁ,m
ʁ2ʃOnøz,f
ʁ2ʃOno,m
ʁ2sje,m
ʁ2dkɥiʁ,m
ʁ2daʃ,f
ʁ2do,m
ʁ2dəlɛ,m
ʁ2dɛl,f
ʁ2d3,m
ʁOnEo,f
ʁ2flɛt,f
ʁ2flœʁ,m
ʁ2fløz,f
ʁ2ʒəm1,m
ʁonje,m
ʁOn3,m
ʁon3,m
ʁ2ʁ2,m
ʁØntgɛns,m
ʁuf,m
ʁOploplo,m
ʁOk1t3,m
ʁOkɛ,m
ʁOkɛt,f
ʁɔʁkal,m
ʁOzas,f
ʁOzaʒ,m
#DEF#,f
ʁOsbif,m
ʁozkʁwa,m
ʁoze,m
ʁOzo,m
ʁoze,f
ʁOzəljɛʁ,f
ʁOzEɔl,f
ʁOzəʁɛ,f
ʁOzɛt,f
ʁOzœʁ,f
ʁOzikʁysj3,m
ʁOzikʁysjɛn,f
ʁOzje,m
ʁOzjɛʁ,f
ʁOsaʁ,m
ʁɔs,f
ʁOse,f
ʁɔsəʁi,f
ʁOsiɲɔl,m
ʁOsin1t,f
ʁɔstʁ,m
ʁOtaʁi,m
ʁOtasj2,f
ʁOtativ,f
ʁɔt,f
ʁOt1gl,m
ʁOtEnɔn,f
ʁOtœʁ,m
ʁoti,m
ʁOti,f
ʁOt3,m
ʁOtisəʁi,f
ʁOtisœʁ,m
ʁOtisøz,f
ʁoto,f
ʁOt2d,f
ʁOt2dite,f
#DEF#,m
ʁOtɔʁ,m
ʁOtOto,m
ʁOtyl,f
ʁOtyʁ,f
ʁOtyʁje,m
ʁwaʒ,m
ʁw1,m
ʁubEzjɛn,f
#DEF#,f
ʁublaʁ,m
ʁublaʁd,f
ʁublaʁdiz,f
ʁubl,m
ʁukulad,f
ʁukuləm1,m
ʁukulœʁ,m
ʁududu,m
ʁwɛl,f
ʁwanɛz,f
ʁwɛnəʁi,f
ʁuʒgɔʁʒ,m
ʁuʒkø,m
ʁuʒo,m
ʁuʒœʁ,f
ʁuʒisəm1,m
ʁujaʁd,f
ʁuj,f
ʁujyʁ,f
ʁulad,f
ʁulaʒ,m
ʁul1t,f
ʁulEbule,m
ʁul,m
ʁulo,m
ʁulɛt,f
ʁulje,m
ʁulɔt,f
ʁulOtje,m
ʁulOtjɛʁ,f
ʁulyʁ,f
ʁum3,m
ʁumɛn,f
ʁumi,m
ʁund,m
ʁupan,f
ʁupɛt,f
#DEF#,f
ʁupi,f
ʁupij2,m
ʁukɛt,f
ʁuk3,m
ʁukin,f
ʁuspEtaʒ,m
ʁuspEt1s,f
ʁuspEtœʁ,m
ʁus,f
ʁuso,m
ʁusəʁɔl,f
ʁusɛt,f
ʁusi,m
ʁus3,m
ʁusisyʁ,f
ʁust,f
ʁust2,m
#DEF#,m
ʁutaʒ,m
ʁutaʁ,m
ʁutœʁ,m
ʁutje,m
ʁutjɛʁ,f
ʁut3,m
ʁuvʁ,m
ʁu,m
ʁwajal,f
#DEF#,f
ʁwajalti,f
ʁwajom,m
ʁwajote,f
ʁy,m
ʁyad,f
ʁybEɔl,f
ʁybja,m
ʁybi,m
ʁybʁikaʁ,m
ʁybʁik,f
ʁyʃ,f
ʁyʃe,m
ʁyʃe,f
ʁyksak,m
ʁydim1,m
ʁydwam1,m
ʁɥe,f
ʁygOzite,f
ʁɥin,f
ʁɥisəlɛ,m
ʁɥisɛləm1,m
ʁɥis2,m
ʁumba,f
ʁymin1,m
ʁyminəm1,m
ʁɔmstɛk,m
ʁyn,f
ʁyniŋ,m
ʁypin,f
ʁyptœʁ,m
ʁyptyʁ,f
ʁyʁal,m
ʁyʁal,f
ʁyz,f
ʁyze,m
ʁœʃ,m
ʁysifikasj2,f
ʁysyl,f
ʁysto,m
ʁystod,f
ʁystisite,f
ʁystin,f
ʁyt,m
ʁytabaga,m
ʁytœʁfɔʁd,m
ʁytil1s,f
ʁitm,m
s,m
sa,f
sabaj2,m
saba,m
sabɛl,f
sabin,f
sabiʁ,m
sabl,m
sablije,m
sablijɛʁ,f
sabl2,m
sabɔʁ,m
sabɔʁdaʒ,m
sabo,m
sabOtaʒ,m
sabɔtəʁi,f
sabOtøz,f
sabOtje,m
sabʁa,m
sabʁətaʃ,f
sakad,f
sakaʒ,m
sakaʒœʁ,m
sakaɲ,f
#DEF#,m
sakaʁoz,m
sakylin,f
saʃɛm,m
saʃɛ,m
sakɔʃ,f
sakʁalizasj2,f
sakʁEkœʁ,m
sakʁe,m
sakʁɛ,m
sakʁifikatœʁ,m
sakʁifis,m
sakʁifje,m
sakʁist3,m
sakʁistɛn,f
sakʁisti,f
sakʁistin,f
sakʁɔm,m
sadysE3,m
sadizm,m
sadOmazOʃizm,m
safaʁifOto,m
safʁ1,m
saga,f
sagɛ,f
sagaʁ,m
saʒfam,f
saʒɛs,f
saʒɛt,f
sagutje,m
sagɔm,m
saaʁjɛn,f
saib,m
sai,m
sɛ,f
sEɲe,f
sEɲəm1,m
sEɲœʁ,m
s3du,m
s3fw3,m
s3bɛʁnaʁ,m
s3kʁEp3,m
s3tEmilj2,m
s3tEspʁi,m
s3fʁysk3,m
s3ʒɛʁm3,m
s3gl3gl3,f
s3gi,m
s3tOnOʁe,m
s3tybɛʁ,f
s3nEktɛʁ,m
s3pOl3,m
s3sjɛʒ,m
s3sinɔd,m
s3,m
s3tnituʃ,f
s3t,f
sEziaʁɛ,f
sEzi,f
sEzisəm1,m
sEz2,f
sEzOnje,m
sEzOnjɛʁ,f
saki,m
sal,m
salasite,f
salad,f
salEz2,f
salam,m
salamalɛk,m
salam1dʁ,f
sal1k,f
salaʁja,m
salaʁje,m
sala,f
saləte,f
salœʁ,m
salikɛʁ,f
salisin,f
salikɔʁn,f
saljɛʁ,f
sal3,m
salin,f
salinite,f
salivasj2,f
saliv,f
salivœʁ,m
salmi,m
salmOnɛl,f
salmOnEloz,f
salmOnide,m
salOnaʁ,m
salOnje,m
salOnjɛʁ,f
salun,m
salOpaʁ,m
salɔpəʁi,f
salOpɛt,f
salOpjo,m
salpEtʁijɛʁ,f
salpik2,m
salp3ʒit,f
salsa,f
salsəpaʁɛj,f
salsifi,m
salto,m
salɥœʁ,m
saly,m
salvadɔʁj3,m
salvadɔʁjɛn,f
salvasj2,f
salv,f
samaʁa,m
samaʁit3,m
samaʁitɛn,f
s1bEnito,m
sambo,m
samizda,m
sami,m
samuʁaj,m
samOjɛd,m
s1p1,m
s1pl,m
s1ple,m
sana,m
sanatOʁjɔm,m
s1sɛʁ,m
s1ktifikasj2,f
s1ktɥɛʁ,m
s1ktys,m
s1dal,f
s1dalɛt,f
s1dalje,m
s1dɛʁliŋ,m
s1djak,m
s1do,m
s1dʁ,m
s1dwitʃ,m
s1fʁwa,m
s1glije,m
s1g3,m
sanEdʁ3,m
sani,f
sanitɛʁ,m
s1kylɔt,m
s1kylOtid,f
s1fas2,m
s1fot,m
s1fil,m
s1gʁad,m
s1skʁi,m
s1sOnɛ,m
s1te,f
s1tjag,f
s1tɔʃ,f
saudjɛn,f
sulaʁ,m
suləʁi,f
sapaʒu,m
sapɛʁlɔt,m
sapœʁp2pje,m
sapœʁ,m
safiʁ,m
safizm,m
sapidite,f
sapj1s,f
sapin,f
sapinɛt,f
sapinjɛʁ,f
sapOnɛʁ,f
sapOnifikasj2,f
sapOnit,f
sapOtij,f
sapOtije,m
saʁ,m
saʁa,f
saʁbakan,f
saʁkasm,m
saʁsin,f
saʁklaʒ,m
saʁklɛt,f
saʁkløz,f
saʁklwaʁ,m
saʁkOidoz,f
saʁkOfaʒ,m
saʁdan,f
saʁdin,f
saʁdinje,m
saʁdwan,f
saʁgas,f
saʁig,f
saʁ3,m
saʁ2g,m
saʁwal,m
saʁwɛl,m
saʁasEni,f
saʁjɛt,f
saʁwa,m
saʁysOfɔn,m
saʃimi,m
sasafʁa,m
sasœʁ,m
satanizm,m
satElit,m
satElitEspj2,m
sati,m
sasjasj2,f
sasjEte,f
satinɛt,f
satisfaksj2,f
satisfEsit,m
satʁapi,f
satyʁnal,f
satyʁnjɛn,f
satyʁnizm,m
sos,f
sose,f
sosje,m
sOsjɛʁ,f
sOsis,f
sOsis2,m
sOsisOnaʒ,m
sOfk2dɥi,m
soʒ,f
sOlɛ,f
sOnje,m
sOm2,m
sOmOno,m
sOmOnɛt,f
sOmyʁaʒ,m
sOmyʁ,f
sOnjɛʁ,f
sOpudʁaʒ,m
sOpudʁœʁ,m
sOʁa,m
sOʁj3,m
sOʁ3,m
sOsɛ,f
sOdəli,m
sOtmut2,m
sOtʁɥiso,m
sotɛl,f
sOtəʁɛl,f
sotəʁi,f
sOtɛʁn,m
sOtœʁ,m
sOtøz,f
sOtijəm1,m
sOtwaʁ,m
sOt2,m
sOvaʒ2,m
sOvaʒəʁi,f
sOvaʒɛs,f
sOvaʒ3,m
sOvaʒin,f
sOvkipø,m
sOvəgaʁd,f
sOvəte,f
sOvətœʁ,m
sOvœʁ,m
sovøz,f
sOviɲ2,m
sav1,m
sav1tas,m
sav1t,f
savaʁ3,m
savœʁ,f
savwaʁfɛʁ,m
savwaʁ,m
savOnaʒ,m
savOne,f
savɔnəʁi,f
savOnɛt,f
savwajaʁd,f
saks,m
saksifʁagase,f
saksifʁaʒ,f
sakso,m
saks2,m
saksɔn,f
saksOfɔn,m
sEnɛt,f
sEj2,m
skafɛʁlati,m
skalɛʁ,m
skalp,m
skalpɛl,m
skalpœʁ,m
sk1pi,m
sk1dal,m
skanaʒ,m
skanœʁ,m
skaniŋ,m
skanOgʁafi,f
sk1sj2,f
skaf1dʁ,m
skaf1dʁije,m
skap3,m
skaʁ,m
skaʁifikasj2,f
skaʁlatin,f
skaʁɔl,f
skat,m
skatOlOʒi,f
skatOlɔg,m
skatœʁ,m
skaz2,m
sElEʁa,m
sElEʁat,f
