Form,Predicted Gender,True Gender,Class Probabilities,Set,Run
pan2so,m,m,"[('o', {'f': 0.6011179089546204, 'm': 0.39888206124305725}), ('s', {'f': 0.1521090567111969, 'm': 0.8478909134864807}), ('2', {'f': 0.057266827672719955, 'm': 0.9427332282066345}), ('n', {'f': 0.014159826561808586, 'm': 0.9858402013778687}), ('a', {'f': 0.002275759121403098, 'm': 0.9977242350578308}), ('p', {'f': 0.001106273615732789, 'm': 0.9988937973976135})]",test,9
vizjɛʁ,f,f,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('ɛ', {'f': 0.23777832090854645, 'm': 0.7622216939926147}), ('j', {'f': 0.040667030960321426, 'm': 0.9593329429626465}), ('z', {'f': 0.12716227769851685, 'm': 0.8728377819061279}), ('i', {'f': 0.9825915098190308, 'm': 0.01740846410393715}), ('v', {'f': 0.9993244409561157, 'm': 0.0006756345392204821})]",test,9
paʁkiŋ,m,m,"[('ŋ', {'f': 0.338265985250473, 'm': 0.6617339849472046}), ('i', {'f': 0.028745179995894432, 'm': 0.9712547659873962}), ('k', {'f': 0.002579193562269211, 'm': 0.9974207878112793}), ('ʁ', {'f': 0.0007188526797108352, 'm': 0.999281108379364}), ('a', {'f': 0.0002774436434265226, 'm': 0.9997225403785706}), ('p', {'f': 0.00016330438666045666, 'm': 0.9998366832733154})]",test,9
1kylʁi,f,f,"[('i', {'f': 0.2839708924293518, 'm': 0.716029167175293}), ('ʁ', {'f': 0.27990421652793884, 'm': 0.7200958132743835}), ('l', {'f': 0.11350292712450027, 'm': 0.8864970803260803}), ('y', {'f': 0.4174968898296356, 'm': 0.582503080368042}), ('k', {'f': 0.42039453983306885, 'm': 0.5796054601669312}), ('1', {'f': 0.8901084661483765, 'm': 0.10989157855510712})]",test,9
1kʁije,m,m,"[('e', {'f': 0.5866736173629761, 'm': 0.4133264124393463}), ('j', {'f': 0.13046897947788239, 'm': 0.8695310950279236}), ('i', {'f': 0.40574565529823303, 'm': 0.5942543148994446}), ('ʁ', {'f': 0.24237395823001862, 'm': 0.7576259970664978}), ('k', {'f': 0.025956319645047188, 'm': 0.9740436673164368}), ('1', {'f': 0.006744280457496643, 'm': 0.9932557344436646})]",test,9
Estɥɛʁ,m,m,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('ɛ', {'f': 0.23777832090854645, 'm': 0.7622216939926147}), ('ɥ', {'f': 0.26551035046577454, 'm': 0.7344896793365479}), ('t', {'f': 0.08551327884197235, 'm': 0.9144867658615112}), ('s', {'f': 0.03865265101194382, 'm': 0.9613472819328308}), ('E', {'f': 0.006917143706232309, 'm': 0.9930828809738159})]",test,9
ap3dis,m,m,"[('s', {'f': 0.5830973982810974, 'm': 0.41690266132354736}), ('i', {'f': 0.7255861759185791, 'm': 0.2744138240814209}), ('d', {'f': 0.6407231092453003, 'm': 0.3592768609523773}), ('3', {'f': 0.44850361347198486, 'm': 0.5514963269233704}), ('p', {'f': 0.08773211389780045, 'm': 0.9122679233551025}), ('a', {'f': 0.22692279517650604, 'm': 0.7730771899223328})]",test,9
puʁliʃ,f,m,"[('ʃ', {'f': 0.5035783052444458, 'm': 0.49642178416252136}), ('i', {'f': 0.779756486415863, 'm': 0.220243439078331}), ('l', {'f': 0.8237545490264893, 'm': 0.17624543607234955}), ('ʁ', {'f': 0.9159088730812073, 'm': 0.08409108966588974}), ('u', {'f': 0.8909420371055603, 'm': 0.10905797779560089}), ('p', {'f': 0.8717795610427856, 'm': 0.12822045385837555})]",test,9
pʁOdɥi,m,m,"[('i', {'f': 0.2839708924293518, 'm': 0.716029167175293}), ('ɥ', {'f': 0.43494686484336853, 'm': 0.5650531053543091}), ('d', {'f': 0.06010054796934128, 'm': 0.9398994445800781}), ('O', {'f': 0.030721433460712433, 'm': 0.9692785739898682}), ('ʁ', {'f': 0.04679195210337639, 'm': 0.9532080292701721}), ('p', {'f': 0.020409226417541504, 'm': 0.9795907735824585})]",test,9
swaɲœʁ,m,m,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('œ', {'f': 0.5873287320137024, 'm': 0.4126712679862976}), ('ɲ', {'f': 0.4805655777454376, 'm': 0.5194344520568848}), ('a', {'f': 0.2297510802745819, 'm': 0.7702488899230957}), ('w', {'f': 0.31295567750930786, 'm': 0.6870443224906921}), ('s', {'f': 0.061052385717630386, 'm': 0.9389476180076599})]",test,9
milfœj,m,m,"[('j', {'f': 0.14459103345870972, 'm': 0.8554089665412903}), ('œ', {'f': 0.5033953785896301, 'm': 0.4966045618057251}), ('f', {'f': 0.21261590719223022, 'm': 0.7873840928077698}), ('l', {'f': 0.07196681946516037, 'm': 0.928033173084259}), ('i', {'f': 0.04076384752988815, 'm': 0.9592360854148865}), ('m', {'f': 0.08626297861337662, 'm': 0.9137369990348816})]",test,9
liktœʁ,m,m,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('œ', {'f': 0.5873287320137024, 'm': 0.4126712679862976}), ('t', {'f': 0.2271890789270401, 'm': 0.7728108763694763}), ('k', {'f': 0.14650626480579376, 'm': 0.8534936904907227}), ('i', {'f': 0.02969209849834442, 'm': 0.9703079462051392}), ('l', {'f': 0.038350049406290054, 'm': 0.9616499543190002})]",test,9
valsœʁ,m,m,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('œ', {'f': 0.5873287320137024, 'm': 0.4126712679862976}), ('s', {'f': 0.28020116686820984, 'm': 0.7197988033294678}), ('l', {'f': 0.2583414316177368, 'm': 0.7416585683822632}), ('a', {'f': 0.42749348282814026, 'm': 0.5725064873695374}), ('v', {'f': 0.4313153326511383, 'm': 0.5686846971511841})]",test,9
pajas2,m,m,"[('2', {'f': 0.5447577238082886, 'm': 0.45524221658706665}), ('s', {'f': 0.12552213668823242, 'm': 0.8744778633117676}), ('a', {'f': 0.057807233184576035, 'm': 0.942192792892456}), ('j', {'f': 0.005601116456091404, 'm': 0.9943988919258118}), ('a', {'f': 0.003992460668087006, 'm': 0.9960075616836548}), ('p', {'f': 0.0008604962495155632, 'm': 0.9991394281387329})]",test,9
paʁ1g2,m,m,"[('2', {'f': 0.5447577238082886, 'm': 0.45524221658706665}), ('g', {'f': 0.03426012396812439, 'm': 0.965739905834198}), ('1', {'f': 0.007214168086647987, 'm': 0.9927858114242554}), ('ʁ', {'f': 0.001361210597679019, 'm': 0.9986388087272644}), ('a', {'f': 0.00039211148396134377, 'm': 0.9996078610420227}), ('p', {'f': 6.810104241594672e-05, 'm': 0.9999319314956665})]",test,9
b4galo,m,m,"[('o', {'f': 0.6011179089546204, 'm': 0.39888206124305725}), ('l', {'f': 0.09828007221221924, 'm': 0.901719868183136}), ('a', {'f': 0.035899654030799866, 'm': 0.9641003012657166}), ('g', {'f': 0.020430462434887886, 'm': 0.9795694947242737}), ('4', {'f': 0.008482074365019798, 'm': 0.991517961025238}), ('b', {'f': 0.018376613035798073, 'm': 0.9816234111785889})]",test,9
plakɛt,f,f,"[('t', {'f': 0.2058286964893341, 'm': 0.7941713333129883}), ('ɛ', {'f': 0.5414233803749084, 'm': 0.45857667922973633}), ('k', {'f': 0.8977694511413574, 'm': 0.102230504155159}), ('a', {'f': 0.8846006989479065, 'm': 0.1153993234038353}), ('l', {'f': 0.6327677369117737, 'm': 0.3672323226928711}), ('p', {'f': 0.6139395236968994, 'm': 0.3860604465007782})]",test,9
klaʁin,f,f,"[('n', {'f': 0.5489742755889893, 'm': 0.45102569460868835}), ('i', {'f': 0.565167248249054, 'm': 0.43483278155326843}), ('ʁ', {'f': 0.8605708479881287, 'm': 0.13942912220954895}), ('a', {'f': 0.9094635248184204, 'm': 0.09053640067577362}), ('l', {'f': 0.8866503834724426, 'm': 0.11334964632987976}), ('k', {'f': 0.9001337885856628, 'm': 0.09986615926027298})]",test,9
1filad,f,f,"[('d', {'f': 0.48989081382751465, 'm': 0.5101091265678406}), ('a', {'f': 0.3360808193683624, 'm': 0.6639191508293152}), ('l', {'f': 0.2969643771648407, 'm': 0.7030355930328369}), ('i', {'f': 0.6832872033119202, 'm': 0.3167128562927246}), ('f', {'f': 0.8033578991889954, 'm': 0.19664207100868225}), ('1', {'f': 0.8200438022613525, 'm': 0.17995616793632507})]",test,9
kastaɲ,f,f,"[('ɲ', {'f': 0.5865302085876465, 'm': 0.4134698510169983}), ('a', {'f': 0.7955926656723022, 'm': 0.20440734922885895}), ('t', {'f': 0.6680359840393066, 'm': 0.33196401596069336}), ('s', {'f': 0.5998129844665527, 'm': 0.40018704533576965}), ('a', {'f': 0.4619932472705841, 'm': 0.5380067825317383}), ('k', {'f': 0.5961456894874573, 'm': 0.40385428071022034})]",test,9
ʁaklyʁ,f,f,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('y', {'f': 0.618388295173645, 'm': 0.38161173462867737}), ('l', {'f': 0.6579692959785461, 'm': 0.34203067421913147}), ('k', {'f': 0.8694665431976318, 'm': 0.1305333971977234}), ('a', {'f': 0.8912444710731506, 'm': 0.10875552147626877}), ('ʁ', {'f': 0.9613703489303589, 'm': 0.03862961009144783})]",test,9
sufløz,f,f,"[('z', {'f': 0.04378888010978699, 'm': 0.9562111496925354}), ('ø', {'f': 0.5238170623779297, 'm': 0.4761829078197479}), ('l', {'f': 0.9927615523338318, 'm': 0.007238422054797411}), ('f', {'f': 0.9964812994003296, 'm': 0.003518695244565606}), ('u', {'f': 0.9999004602432251, 'm': 9.955633868230507e-05}), ('s', {'f': 0.9993044137954712, 'm': 0.0006956324214115739})]",test,9
aʁivaʒ,m,m,"[('ʒ', {'f': 0.4871956408023834, 'm': 0.5128043293952942}), ('a', {'f': 0.6633043885231018, 'm': 0.33669552206993103}), ('v', {'f': 0.2774931788444519, 'm': 0.7225067615509033}), ('i', {'f': 0.0333082415163517, 'm': 0.966691792011261}), ('ʁ', {'f': 0.021029090508818626, 'm': 0.9789709448814392}), ('a', {'f': 0.006137394346296787, 'm': 0.9938626289367676})]",test,9
fibʁij,f,f,"[('j', {'f': 0.14459103345870972, 'm': 0.8554089665412903}), ('i', {'f': 0.8346022963523865, 'm': 0.16539767384529114}), ('ʁ', {'f': 0.9721060991287231, 'm': 0.027893835678696632}), ('b', {'f': 0.9756153225898743, 'm': 0.024384696036577225}), ('i', {'f': 0.9904847145080566, 'm': 0.009515302255749702}), ('f', {'f': 0.9051074981689453, 'm': 0.09489251673221588})]",test,9
fʁipɔn,m,f,"[('n', {'f': 0.5489742755889893, 'm': 0.45102569460868835}), ('ɔ', {'f': 0.7074562311172485, 'm': 0.2925437390804291}), ('p', {'f': 0.36357492208480835, 'm': 0.6364250779151917}), ('i', {'f': 0.22236855328083038, 'm': 0.777631402015686}), ('ʁ', {'f': 0.6606355905532837, 'm': 0.3393644094467163}), ('f', {'f': 0.4674561023712158, 'm': 0.532543957233429})]",test,9
maʁat2,m,m,"[('2', {'f': 0.5447577238082886, 'm': 0.45524221658706665}), ('t', {'f': 0.020054157823324203, 'm': 0.9799458384513855}), ('a', {'f': 0.012138687074184418, 'm': 0.9878612756729126}), ('ʁ', {'f': 0.0005456052022054791, 'm': 0.9994544386863708}), ('a', {'f': 0.0004849974939133972, 'm': 0.9995150566101074}), ('m', {'f': 0.0033528541680425406, 'm': 0.9966471791267395})]",test,9
nwazɛt,m,f,"[('t', {'f': 0.2058286964893341, 'm': 0.7941713333129883}), ('ɛ', {'f': 0.5414233803749084, 'm': 0.45857667922973633}), ('z', {'f': 0.41873592138290405, 'm': 0.581264078617096}), ('a', {'f': 0.7620015740394592, 'm': 0.23799841105937958}), ('w', {'f': 0.37277716398239136, 'm': 0.6272227764129639}), ('n', {'f': 0.19227169454097748, 'm': 0.8077282905578613})]",test,9
kaʃkaʃ,m,m,"[('ʃ', {'f': 0.5035783052444458, 'm': 0.49642178416252136}), ('a', {'f': 0.6482886075973511, 'm': 0.3517114222049713}), ('k', {'f': 0.7316820025444031, 'm': 0.2683180272579193}), ('ʃ', {'f': 0.28983521461486816, 'm': 0.7101647257804871}), ('a', {'f': 0.43824127316474915, 'm': 0.5617586970329285}), ('k', {'f': 0.42947688698768616, 'm': 0.5705231428146362})]",test,9
pl2baʒ,m,m,"[('ʒ', {'f': 0.4871956408023834, 'm': 0.5128043293952942}), ('a', {'f': 0.6633043885231018, 'm': 0.33669552206993103}), ('b', {'f': 0.2499881535768509, 'm': 0.7500118613243103}), ('2', {'f': 0.04980534687638283, 'm': 0.9501946568489075}), ('l', {'f': 0.005446652416139841, 'm': 0.9945533275604248}), ('p', {'f': 0.0023190744686871767, 'm': 0.9976809024810791})]",test,9
ʁamasi,m,m,"[('i', {'f': 0.2839708924293518, 'm': 0.716029167175293}), ('s', {'f': 0.2162417471408844, 'm': 0.783758282661438}), ('a', {'f': 0.3636583983898163, 'm': 0.6363415718078613}), ('m', {'f': 0.10870781540870667, 'm': 0.8912922143936157}), ('a', {'f': 0.5224608778953552, 'm': 0.47753915190696716}), ('ʁ', {'f': 0.24237865209579468, 'm': 0.7576213479042053})]",test,9
f1tas3,m,m,"[('3', {'f': 0.3286754786968231, 'm': 0.6713244915008545}), ('s', {'f': 0.03917935490608215, 'm': 0.9608206748962402}), ('a', {'f': 0.0037282132543623447, 'm': 0.9962717294692993}), ('t', {'f': 0.0007173745543695986, 'm': 0.9992826581001282}), ('1', {'f': 0.0011907456209883094, 'm': 0.9988092184066772}), ('f', {'f': 0.0011594031238928437, 'm': 0.9988406300544739})]",test,9
zigzag,m,m,"[('g', {'f': 0.6468033194541931, 'm': 0.3531966805458069}), ('a', {'f': 0.6451284885406494, 'm': 0.354871541261673}), ('z', {'f': 0.11779565364122391, 'm': 0.8822043538093567}), ('g', {'f': 0.1934301257133484, 'm': 0.8065698742866516}), ('i', {'f': 0.08167719841003418, 'm': 0.9183228015899658}), ('z', {'f': 0.23081332445144653, 'm': 0.7691866159439087})]",test,9
stydjo,m,m,"[('o', {'f': 0.6011179089546204, 'm': 0.39888206124305725}), ('j', {'f': 0.06586308777332306, 'm': 0.9341368675231934}), ('d', {'f': 0.006669262889772654, 'm': 0.9933307766914368}), ('y', {'f': 0.0030995160341262817, 'm': 0.9969005584716797}), ('t', {'f': 0.0026209172792732716, 'm': 0.9973790645599365}), ('s', {'f': 0.051732227206230164, 'm': 0.9482677578926086})]",test,9
k2twaʁ,m,m,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('a', {'f': 0.4686209261417389, 'm': 0.5313791036605835}), ('w', {'f': 0.26926684379577637, 'm': 0.7307332158088684}), ('t', {'f': 0.10798047482967377, 'm': 0.8920195698738098}), ('2', {'f': 0.5236692428588867, 'm': 0.47633081674575806}), ('k', {'f': 0.3633100092411041, 'm': 0.6366899609565735})]",test,9
ʁitɥɛl,f,m,"[('l', {'f': 0.4013040065765381, 'm': 0.5986960530281067}), ('ɛ', {'f': 0.3688611090183258, 'm': 0.6311388611793518}), ('ɥ', {'f': 0.6777347922325134, 'm': 0.3222651779651642}), ('t', {'f': 0.3954830467700958, 'm': 0.6045169234275818}), ('i', {'f': 0.5889704823493958, 'm': 0.41102948784828186}), ('ʁ', {'f': 0.7234463691711426, 'm': 0.2765536308288574})]",test,9
mwaʁyʁ,f,f,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('y', {'f': 0.618388295173645, 'm': 0.38161173462867737}), ('ʁ', {'f': 0.8119064569473267, 'm': 0.18809354305267334}), ('a', {'f': 0.9323391914367676, 'm': 0.06766080111265182}), ('w', {'f': 0.7073277235031128, 'm': 0.2926723062992096}), ('m', {'f': 0.8043843507766724, 'm': 0.19561566412448883})]",test,9
kulœvʁ,m,f,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('v', {'f': 0.4789612889289856, 'm': 0.5210387110710144}), ('œ', {'f': 0.42992353439331055, 'm': 0.5700764060020447}), ('l', {'f': 0.43690335750579834, 'm': 0.5630966424942017}), ('u', {'f': 0.22798636555671692, 'm': 0.7720136046409607}), ('k', {'f': 0.06884463876485825, 'm': 0.9311553239822388})]",test,9
ʃ3ʃila,m,m,"[('a', {'f': 0.3460003137588501, 'm': 0.6539996862411499}), ('l', {'f': 0.06323185563087463, 'm': 0.9367681741714478}), ('i', {'f': 0.0986267551779747, 'm': 0.9013732671737671}), ('ʃ', {'f': 0.1212521344423294, 'm': 0.8787478804588318}), ('3', {'f': 0.155229851603508, 'm': 0.8447701334953308}), ('ʃ', {'f': 0.030140100046992302, 'm': 0.9698598980903625})]",test,9
bʁymɛʁ,f,m,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('ɛ', {'f': 0.23777832090854645, 'm': 0.7622216939926147}), ('m', {'f': 0.48882582783699036, 'm': 0.511174201965332}), ('y', {'f': 0.7958913445472717, 'm': 0.20410864055156708}), ('ʁ', {'f': 0.6309468150138855, 'm': 0.3690532445907593}), ('b', {'f': 0.5525609254837036, 'm': 0.4474390745162964})]",test,9
l1tisk,m,m,"[('k', {'f': 0.5075386762619019, 'm': 0.4924614131450653}), ('s', {'f': 0.17610256373882294, 'm': 0.8238974213600159}), ('i', {'f': 0.23498564958572388, 'm': 0.7650143504142761}), ('t', {'f': 0.2631708085536957, 'm': 0.7368292808532715}), ('1', {'f': 0.2432512640953064, 'm': 0.7567487359046936}), ('l', {'f': 0.19428500533103943, 'm': 0.8057149648666382})]",test,9
suʁmɥɛ,m,m,"[('ɛ', {'f': 0.5433358550071716, 'm': 0.45666417479515076}), ('ɥ', {'f': 0.16272911429405212, 'm': 0.8372709155082703}), ('m', {'f': 0.11265937238931656, 'm': 0.8873406648635864}), ('ʁ', {'f': 0.09160912036895752, 'm': 0.9083908796310425}), ('u', {'f': 0.009846792556345463, 'm': 0.9901532530784607}), ('s', {'f': 0.002922269981354475, 'm': 0.9970777034759521})]",test,9
azimyt,m,m,"[('t', {'f': 0.2058286964893341, 'm': 0.7941713333129883}), ('y', {'f': 0.7523753046989441, 'm': 0.24762463569641113}), ('m', {'f': 0.9129933714866638, 'm': 0.08700663596391678}), ('i', {'f': 0.3538218140602112, 'm': 0.6461781859397888}), ('z', {'f': 0.42554226517677307, 'm': 0.5744577646255493}), ('a', {'f': 0.4509090483188629, 'm': 0.5490909218788147})]",test,9
3pɔʁt4,m,m,"[('4', {'f': 0.3384116590023041, 'm': 0.6615883111953735}), ('t', {'f': 0.02570960484445095, 'm': 0.9742903709411621}), ('ʁ', {'f': 0.010659236460924149, 'm': 0.9893407225608826}), ('ɔ', {'f': 0.00990730244666338, 'm': 0.9900926947593689}), ('p', {'f': 0.0028255952056497335, 'm': 0.9971743822097778}), ('3', {'f': 0.0036171076353639364, 'm': 0.9963828325271606})]",test,9
ʒ3ʒ1bʁ,f,m,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('b', {'f': 0.3234331011772156, 'm': 0.6765669584274292}), ('1', {'f': 0.24944816529750824, 'm': 0.7505517601966858}), ('ʒ', {'f': 0.41100481152534485, 'm': 0.5889951586723328}), ('3', {'f': 0.6689862012863159, 'm': 0.33101382851600647}), ('ʒ', {'f': 0.7838718891143799, 'm': 0.2161281555891037})]",test,9
bugʁɛs,f,f,"[('s', {'f': 0.5830973982810974, 'm': 0.41690266132354736}), ('ɛ', {'f': 0.5933687090873718, 'm': 0.4066312611103058}), ('ʁ', {'f': 0.6403425931930542, 'm': 0.3596573770046234}), ('g', {'f': 0.9712194800376892, 'm': 0.028780560940504074}), ('u', {'f': 0.966475248336792, 'm': 0.03352474048733711}), ('b', {'f': 0.92604660987854, 'm': 0.07395341247320175})]",test,9
at1sj2,f,f,"[('2', {'f': 0.5447577238082886, 'm': 0.45524221658706665}), ('j', {'f': 0.012159174308180809, 'm': 0.9878408312797546}), ('s', {'f': 0.11540216952562332, 'm': 0.884597897529602}), ('1', {'f': 0.9353819489479065, 'm': 0.0646180585026741}), ('t', {'f': 0.9997085928916931, 'm': 0.0002914223005063832}), ('a', {'f': 0.9997287392616272, 'm': 0.0002712458954192698})]",test,9
b3maʁi,f,m,"[('i', {'f': 0.2839708924293518, 'm': 0.716029167175293}), ('ʁ', {'f': 0.27990421652793884, 'm': 0.7200958132743835}), ('a', {'f': 0.190957173705101, 'm': 0.8090428113937378}), ('m', {'f': 0.09093395620584488, 'm': 0.9090660810470581}), ('3', {'f': 0.3603484034538269, 'm': 0.6396515965461731}), ('b', {'f': 0.5768091678619385, 'm': 0.4231908917427063})]",test,9
ʒuv1so,m,m,"[('o', {'f': 0.6011179089546204, 'm': 0.39888206124305725}), ('s', {'f': 0.1521090567111969, 'm': 0.8478909134864807}), ('1', {'f': 0.010416313074529171, 'm': 0.9895836710929871}), ('v', {'f': 0.0016580350929871202, 'm': 0.9983419179916382}), ('u', {'f': 0.00020811473950743675, 'm': 0.9997919201850891}), ('ʒ', {'f': 0.0001426601957064122, 'm': 0.9998573064804077})]",test,9
3sid1s,f,f,"[('s', {'f': 0.5830973982810974, 'm': 0.41690266132354736}), ('1', {'f': 0.6270850896835327, 'm': 0.3729149401187897}), ('d', {'f': 0.8981608748435974, 'm': 0.1018391102552414}), ('i', {'f': 0.9592942595481873, 'm': 0.04070578143000603}), ('s', {'f': 0.9708240628242493, 'm': 0.029175996780395508}), ('3', {'f': 0.9963563680648804, 'm': 0.003643685718998313})]",test,9
limuz3,m,m,"[('3', {'f': 0.3286754786968231, 'm': 0.6713244915008545}), ('z', {'f': 0.002419933909550309, 'm': 0.9975800514221191}), ('u', {'f': 0.0013882039347663522, 'm': 0.9986118078231812}), ('m', {'f': 0.0010507181286811829, 'm': 0.9989493489265442}), ('i', {'f': 0.0003751232288777828, 'm': 0.9996248483657837}), ('l', {'f': 0.00023021589731797576, 'm': 0.9997697472572327})]",test,9
plEbɔj,m,m,"[('j', {'f': 0.14459103345870972, 'm': 0.8554089665412903}), ('ɔ', {'f': 0.47675418853759766, 'm': 0.5232458114624023}), ('b', {'f': 0.2873433530330658, 'm': 0.7126566767692566}), ('E', {'f': 0.16350208222866058, 'm': 0.836497962474823}), ('l', {'f': 0.04202871397137642, 'm': 0.9579713344573975}), ('p', {'f': 0.032570794224739075, 'm': 0.9674292206764221})]",test,9
bustœʁ,m,m,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('œ', {'f': 0.5873287320137024, 'm': 0.4126712679862976}), ('t', {'f': 0.2271890789270401, 'm': 0.7728108763694763}), ('s', {'f': 0.19395563006401062, 'm': 0.8060443997383118}), ('u', {'f': 0.041520681232213974, 'm': 0.9584792852401733}), ('b', {'f': 0.03831276297569275, 'm': 0.9616872072219849})]",test,9
kʁəvaʁ,m,m,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('a', {'f': 0.4686209261417389, 'm': 0.5313791036605835}), ('v', {'f': 0.253632515668869, 'm': 0.7463675141334534}), ('ə', {'f': 0.08612673729658127, 'm': 0.9138732552528381}), ('ʁ', {'f': 0.028019621968269348, 'm': 0.9719803929328918}), ('k', {'f': 0.05109835043549538, 'm': 0.9489015936851501})]",test,9
sabʁœʁ,m,m,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('œ', {'f': 0.5873287320137024, 'm': 0.4126712679862976}), ('ʁ', {'f': 0.5040645003318787, 'm': 0.49593549966812134}), ('b', {'f': 0.08402758091688156, 'm': 0.9159724116325378}), ('a', {'f': 0.01449714694172144, 'm': 0.9855028390884399}), ('s', {'f': 0.014774567447602749, 'm': 0.9852253794670105})]",test,9
lyksyʁ,f,f,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('y', {'f': 0.618388295173645, 'm': 0.38161173462867737}), ('s', {'f': 0.8259118795394897, 'm': 0.17408807575702667}), ('k', {'f': 0.9168853759765625, 'm': 0.0831146389245987}), ('y', {'f': 0.942201554775238, 'm': 0.057798441499471664}), ('l', {'f': 0.6714218854904175, 'm': 0.3285781443119049})]",test,9
sinaps,m,f,"[('s', {'f': 0.5830973982810974, 'm': 0.41690266132354736}), ('p', {'f': 0.5332223176956177, 'm': 0.4667776823043823}), ('a', {'f': 0.4250151216983795, 'm': 0.5749849081039429}), ('n', {'f': 0.34926724433898926, 'm': 0.6507327556610107}), ('i', {'f': 0.13698406517505646, 'm': 0.8630159497261047}), ('s', {'f': 0.2943662405014038, 'm': 0.7056337594985962})]",test,9
œʁtwaʁ,m,m,"[('ʁ', {'f': 0.387179434299469, 'm': 0.6128205060958862}), ('a', {'f': 0.4686209261417389, 'm': 0.5313791036605835}), ('w', {'f': 0.26926684379577637, 'm': 0.7307332158088684}), ('t', {'f': 0.10798047482967377, 'm': 0.8920195698738098}), ('ʁ', {'f': 0.4020449221134186, 'm': 0.5979551076889038}), ('œ', {'f': 0.4529600739479065, 'm': 0.5470399260520935})]",test,9
plijaʒ,m,m,"[('ʒ', {'f': 0.4871956408023834, 'm': 0.5128043293952942}), ('a', {'f': 0.6633043885231018, 'm': 0.33669552206993103}), ('j', {'f': 0.04588925465941429, 'm': 0.9541106820106506}), ('i', {'f': 0.0061080497689545155, 'm': 0.9938919544219971}), ('l', {'f': 0.0009386122692376375, 'm': 0.9990614056587219}), ('p', {'f': 0.0006324469577521086, 'm': 0.9993675351142883})]",test,9
fʁimus,m,f,"[('s', {'f': 0.5830973982810974, 'm': 0.41690266132354736}), ('u', {'f': 0.8738803267478943, 'm': 0.1261196881532669}), ('m', {'f': 0.711280345916748, 'm': 0.28871962428092957}), ('i', {'f': 0.4812183678150177, 'm': 0.5187816619873047}), ('ʁ', {'f': 0.5200673341751099, 'm': 0.47993260622024536}), ('f', {'f': 0.05683690682053566, 'm': 0.9431631565093994})]",test,9
salami,f,m,"[('i', {'f': 0.2839708924293518, 'm': 0.716029167175293}), ('m', {'f': 0.17063844203948975, 'm': 0.8293615579605103}), ('a', {'f': 0.4349398612976074, 'm': 0.5650601387023926}), ('l', {'f': 0.35994964838027954, 'm': 0.6400502920150757}), ('a', {'f': 0.5224395990371704, 'm': 0.477560430765152}), ('s', {'f': 0.7356236577033997, 'm': 0.26437634229660034})]",test,9
kazɥɛl,f,m,"[('l', {'f': 0.4013040065765381, 'm': 0.5986960530281067}), ('ɛ', {'f': 0.3688611090183258, 'm': 0.6311388611793518}), ('ɥ', {'f': 0.6777347922325134, 'm': 0.3222651779651642}), ('z', {'f': 0.13708677887916565, 'm': 0.862913191318512}), ('a', {'f': 0.5140175819396973, 'm': 0.48598241806030273}), ('k', {'f': 0.7489038705825806, 'm': 0.25109609961509705})]",test,9
ʁ1ʒəm1,m,m,"[('1', {'f': 0.35887160897254944, 'm': 0.641128420829773}), ('m', {'f': 0.13903844356536865, 'm': 0.8609614968299866}), ('ə', {'f': 0.06204685941338539, 'm': 0.9379531145095825}), ('ʒ', {'f': 0.03204062581062317, 'm': 0.9679594039916992}), ('1', {'f': 0.008814007043838501, 'm': 0.9911859631538391}), ('ʁ', {'f': 0.025791674852371216, 'm': 0.9742083549499512})]",test,9
sudanɛ,m,m,"[('ɛ', {'f': 0.5433358550071716, 'm': 0.45666417479515076}), ('n', {'f': 0.4717250466346741, 'm': 0.5282749533653259}), ('a', {'f': 0.07845978438854218, 'm': 0.9215402007102966}), ('d', {'f': 0.00524773309007287, 'm': 0.9947522878646851}), ('u', {'f': 0.00031749214394949377, 'm': 0.9996825456619263}), ('s', {'f': 0.0002834444458130747, 'm': 0.999716579914093})]",test,9
